# Time (hours),k1,k2,k3
0.654655,1.886367,0.121670,0.001761
0.655656,1.886367,0.121670,0.001761
0.656657,1.886367,0.121670,0.001761
0.657658,1.886367,0.121670,0.001761
0.658659,1.886367,0.121670,0.001761
0.659660,1.886367,0.121670,0.001761
0.660661,1.886367,0.121670,0.001761
0.661662,1.886367,0.121670,0.001761
0.662663,1.886367,0.121670,0.001761
0.663664,1.886367,0.121670,0.001761
0.664665,1.886367,0.121670,0.001761
0.665666,1.886367,0.121670,0.001761
0.666667,1.886367,0.121670,0.001761
0.667668,1.886367,0.121670,0.001761
0.668669,1.886367,0.121670,0.001761
0.669670,1.886367,0.121670,0.001761
0.670671,1.886367,0.121670,0.001761
0.671672,1.886367,0.121670,0.001761
0.672673,1.886367,0.121670,0.001761
0.673674,1.886367,0.121670,0.001761
0.674675,1.886367,0.121670,0.001761
0.675676,1.886367,0.121670,0.001761
0.676677,1.886367,0.121670,0.001761
0.677678,1.886367,0.121670,0.001761
0.678679,1.886367,0.121670,0.001761
0.679680,1.886367,0.121670,0.001761
0.680681,1.886367,0.121670,0.001761
0.681682,1.886367,0.121670,0.001761
0.682683,1.886367,0.121670,0.001761
0.683684,1.886367,0.121670,0.001761
0.684685,1.886367,0.121670,0.001761
0.685686,1.886367,0.121670,0.001761
0.686687,1.886367,0.121670,0.001761
0.687688,1.886367,0.121670,0.001761
0.688689,1.886367,0.121670,0.001761
0.689690,1.886367,0.121670,0.001761
